queried_sp_name,sp_name,itis,itis_reason,itis_tsn,gnr_score,gnr_source
Mertensia pratensis,Mertensia pratensis,NA,NA,NA,0.988,NCBI
Petalostemon purpureus,Petalostemon purpureus,not accepted,synonym,518791,0.988,uBio NameBank
Petalostemon purpureus,Dalea purpurea var. purpurea,accepted,NA,192912,NA,NA
Petalostemon purpureus,Dalea purpurea purpurea,NA,NA,NA,0.999,Catalogue of Life
Castilleia miniata,Castilleia miniata,NA,NA,NA,NA,NA
Castilleia miniata,Castilleja miniata,accepted,NA,33069,0.75,Catalogue of Life
Sedum stenopetalum,Sedum stenopetalum,accepted,NA,24177,0.988,Catalogue of Life
Calochortus gunnisoni,Calochortus gunnisoni,NA,NA,NA,0.988,CU*STAR
Capnoides aureum,Capnoides aureum,not accepted,synonym,510057,0.988,CU*STAR
Capnoides aureum,Corydalis aurea,accepted,NA,18999,0.988,NCBI
Rydbergia grandilfora,Rydbergia grandilfora,NA,NA,NA,NA,NA
Rydbergia grandilfora,Rydbergia grandiflora,not accepted,synonym,520646,0.75,Catalogue of Life
Rydbergia grandilfora,Hymenoxys grandiflora,accepted,NA,514996,NA,NA
Achillea millefolium,Achillea millefolium,accepted,NA,35423,0.988,Catalogue of Life
Aconitum columbianum,Aconitum columbianum,accepted,NA,18416,0.988,Catalogue of Life
Asclepias halli,Asclepias halli,NA,NA,NA,NA,NA
Asclepias halli,Asclepias hallii,accepted,NA,30270,0.75,Catalogue of Life
Campanula rotundifolia,Campanula rotundifolia,accepted,NA,34497,0.988,NCBI
Heracleum lanatum,Heracleum lanatum,not accepted,synonym,29670,0.988,EOL
Heracleum lanatum,Heracleum sphondylium ssp. montanum,accepted,NA,525943,NA,NA
Heracleum lanatum,Heracleum sphondylium montanum,NA,NA,NA,0.999,Catalogue of Life
Penstemon halli,Penstemon halli,NA,NA,NA,NA,NA
Penstemon halli,Penstemon hallii,accepted,NA,33699,0.75,Catalogue of Life
Penstemon unilateralis,Penstemon unilateralis,not accepted,synonym,34011,0.988,EOL
Penstemon unilateralis,Penstemon secundiflorus,accepted,NA,33991,0.988,NCBI
Petalostemon candidus,Petalostemon candidus,not accepted,synonym,518764,0.988,uBio NameBank
Petalostemon candidus,Dalea candida var. candida,accepted,NA,192888,NA,NA
Petalostemon candidus,Dalea candida candida,NA,NA,NA,0.999,Catalogue of Life
Dasyphora fruticosa,Dasyphora fruticosa,NA,NA,NA,0.988,BioLib.cz
Prunus virginiana,Prunus virginiana,accepted,NA,24806,0.988,NCBI
Tradescantia virginiana,Tradescantia virginiana,accepted,NA,39178,0.988,NCBI
Gentiana parryi,Gentiana parryi,accepted,NA,29980,0.988,NCBI
Ibidium strictum,Ibidium strictum,not accepted,synonym,515054,0.988,uBio NameBank
Ibidium strictum,Spiranthes romanzoffiana,accepted,NA,43473,0.988,NCBI
Iris missouriensis,Iris missouriensis,accepted,NA,43221,0.988,NCBI
Linaria vulgaris,Linaria vulgaris,accepted,NA,33216,0.988,Catalogue of Life
Thermopsis montana,Thermopsis montana,accepted,NA,508158,0.988,NCBI
Apocynum androsaemifolium,Apocynum androsaemifolium,accepted,NA,30156,0.988,Catalogue of Life
Aquilegia coerulea,Aquilegia coerulea,accepted,NA,18733,0.988,NCBI
Dodecatheon meadia,Dodecatheon meadia,not accepted,synonym,23969,0.988,Catalogue of Life
Dodecatheon meadia,Primula meadia,accepted,NA,836161,0.988,NCBI
Mentzelia multiflora,Mentzelia multiflora,accepted,NA,503788,0.988,NCBI
Potentilla arguta,Potentilla arguta,not accepted,synonym,24692,0.988,EOL
Potentilla arguta,Drymocallis arguta,accepted,NA,512537,0.988,Catalogue of Life
Potentilla gracilis,Potentilla gracilis,accepted,NA,24714,0.988,NCBI
Taraxacum officinale,Taraxacum officinale,accepted,NA,36213,0.988,Catalogue of Life
Allium recurvatum,Allium recurvatum,not accepted,synonym,185455,0.988,CU*STAR
Allium recurvatum,Allium cernuum,accepted,NA,42721,0.988,NCBI
Asclepias speciosa,Asclepias speciosa,accepted,NA,30304,0.988,NCBI
Chrysopsis villosa,Chrysopsis villosa,not accepted,synonym,510984,0.988,EOL
Chrysopsis villosa,Heterotheca villosa var. villosa,accepted,NA,528399,NA,NA
Chrysopsis villosa,Heterotheca villosa villosa,NA,NA,NA,0.999,GRIN Taxonomy for Plants
Drymocallis fissa,Drymocallis fissa,accepted,NA,512538,0.988,NCBI
Fragaria vesca,Fragaria vesca,accepted,NA,24634,0.988,Catalogue of Life
Helianthus petiolaris,Helianthus petiolaris,accepted,NA,36671,0.988,Catalogue of Life
Onagra biennis,Onagra biennis,NA,NA,NA,0.988,uBio NameBank
Pachylophus caespitosus,Pachylophus caespitosus,NA,NA,NA,0.988,Catalogue of Life
Polygonum bistorta,Polygonum bistorta,not accepted,synonym,20850,0.988,EOL
Polygonum bistorta,Bistorta officinalis,accepted,NA,823770,0.988,Catalogue of Life
Sieversia ciliata,Sieversia ciliata,not accepted,synonym,521487,0.988,EOL
Sieversia ciliata,Geum triflorum var. ciliatum,accepted,NA,195841,NA,NA
Sieversia ciliata,Geum triflorum ciliatum,NA,NA,NA,0.999,EOL
Thalictrum fendleri,Thalictrum fendleri,accepted,NA,18670,0.988,NCBI
Arctostaphylus uva-ursi,Arctostaphylus uva-ursi,NA,NA,NA,NA,NA
Arctostaphylus uva-ursi,Arctostaphylos uva-ursi,accepted,NA,23530,0.75,Catalogue of Life
Aster foliaceus,Aster foliaceus,not accepted,synonym,35572,0.988,EOL
Aster foliaceus,Aster foliaceus,not accepted,synonym,193197,0.988,EOL
Aster foliaceus,Symphyotrichum foliaceum var. foliaceum,accepted,NA,566332,NA,NA
Aster foliaceus,Symphyotrichum novi-belgii var. crenifolium,accepted,NA,566335,NA,NA
Aster foliaceus,Symphyotrichum foliaceum foliaceum,NA,NA,NA,0.999,GRIN Taxonomy for Plants
Aster foliaceus,Symphyotrichum novi-belgii crenifolium,NA,NA,NA,0.999,uBio NameBank
Caltha leptosepala,Caltha leptosepala,accepted,NA,18455,0.988,Catalogue of Life
Cleome serrulata,Cleome serrulata,not accepted,synonym,22626,0.988,Freebase
Cleome serrulata,Peritoma serrulata,accepted,NA,823032,0.988,uBio NameBank
Elephantella groenlandica,Elephantella groenlandica,not accepted,synonym,512786,0.988,uBio NameBank
Elephantella groenlandica,Pedicularis groenlandica,accepted,NA,33377,0.988,NCBI
Erigeron uniflorus,Erigeron uniflorus,accepted,NA,35963,0.988,Catalogue of Life
Galium boreale,Galium boreale,not accepted,misapplied,34828,0.988,NCBI
Galium boreale,Galium boreale,accepted,NA,565204,0.988,NCBI
Galium boreale,Galium circaezans var. circaezans,accepted,NA,528209,NA,NA
Galium boreale,Galium circaezans circaezans,NA,NA,NA,0.999,NCBI
Gilia aggregata,Gilia aggregata,not accepted,synonym,514011,0.988,EOL
Gilia aggregata,Ipomopsis aggregata ssp. aggregata,accepted,NA,31193,NA,NA
Gilia aggregata,Ipomopsis aggregata aggregata,NA,NA,NA,0.999,EOL
Malvastrum coccineum,Malvastrum coccineum,not accepted,synonym,516675,0.988,CU*STAR
Malvastrum coccineum,Sphaeralcea coccinea ssp. coccinea,accepted,NA,21921,NA,NA
Malvastrum coccineum,Sphaeralcea coccinea coccinea,NA,NA,NA,0.999,EOL
Pedicularis parryi,Pedicularis parryi,accepted,NA,33382,0.988,Catalogue of Life
Pedicularis racemosa,Pedicularis racemosa,accepted,NA,33385,0.988,Catalogue of Life
Physaria didymocarpa,Physaria didymocarpa,accepted,NA,23277,0.988,NCBI
Trifolium dasyphyllum,Trifolium dasyphyllum,accepted,NA,26236,0.988,NCBI
Valeriana edulis,Valeriana edulis,accepted,NA,35359,0.988,Catalogue of Life
Aquilegia brevistyla,Aquilegia brevistyla,accepted,NA,18729,0.988,NCBI
Aragalus lamberti,Aragalus lamberti,NA,NA,NA,NA,NA
Aragalus lamberti,Aragallus lamberti,NA,NA,NA,0.75,uBio NameBank
Clementsia rhodantha,Clementsia rhodantha,not accepted,synonym,511135,0.988,CU*STAR
Clementsia rhodantha,Rhodiola rhodantha,accepted,NA,565455,0.988,NCBI
Draba aurea,Draba aurea,accepted,NA,22863,0.988,NCBI
Erysimum asperum,Erysimum asperum,accepted,NA,22931,0.988,NCBI
Geum rivale,Geum rivale,accepted,NA,24659,0.988,NCBI
Lappula floribunda,Lappula floribunda,not accepted,synonym,515648,0.988,CU*STAR
Lappula floribunda,Hackelia floribunda,accepted,NA,31927,0.988,NCBI
Lathyrus ornatus,Lathyrus ornatus,not accepted,synonym,515694,0.988,uBio NameBank
Lathyrus ornatus,Lathyrus polymorphus var. polymorphus,accepted,NA,566677,NA,NA
Lathyrus ornatus,Lathyrus polymorphus polymorphus,NA,NA,NA,0.999,Catalogue of Life
Lithospermum canescens,Lithospermum canescens,accepted,NA,31945,0.988,NCBI
Oreochrysum parryi,Oreochrysum parryi,accepted,NA,517938,0.988,NCBI
Phacelia heterophylla,Phacelia heterophylla,accepted,NA,504271,0.988,NCBI
Prunus pennsylvanica,Prunus pennsylvanica,NA,NA,NA,0.988,uBio NameBank
Sambucus racemosa,Sambucus racemosa,accepted,NA,35326,0.988,Catalogue of Life
Scutellaria resinosa,Scutellaria resinosa,accepted,NA,32814,0.988,NCBI
Sieversia turbinata,Sieversia turbinata,NA,NA,NA,0.988,EOL
Silene acaulis,Silene acaulis,accepted,NA,20041,0.988,Catalogue of Life
Silene halli,Silene halli,NA,NA,NA,NA,NA
