queried_sp_name,sp_name,itis,itis_reason,itis_tsn,gnr_score,gnr_source
Parthenium integrifolium,Parthenium integrifolium,accepted,NA,38166,0.988,NCBI
Pastinaca sativa,Pastinaca sativa,accepted,NA,29795,0.988,Catalogue of Life
Phlox pilosa,Phlox pilosa,accepted,NA,30974,0.988,Catalogue of Life
Phryma leptostachya,Phryma leptostachya,accepted,NA,504348,0.988,NCBI
Pyrus coronaria,Pyrus coronaria,not accepted,synonym,519849,0.988,EOL
Pyrus coronaria,Malus coronaria,accepted,NA,25257,0.988,NCBI
Sisyrinchium angustifolium,Sisyrinchium angustifolium,accepted,NA,43240,0.988,NCBI
Specularia perfoliata,Specularia perfoliata,not accepted,synonym,521856,0.988,EOL
Specularia perfoliata,Triodanis perfoliata,accepted,NA,34615,0.988,NCBI
Stylosanthes biflora,Stylosanthes biflora,accepted,NA,26973,0.988,NCBI
Veronica peregrina,Veronica peregrina,accepted,NA,33421,0.988,Catalogue of Life
Viburnum pubescens,Viburnum pubescens,not accepted,synonym,523248,0.988,CU*STAR
Viburnum pubescens,Viburnum dentatum var. dentatum,accepted,NA,530803,NA,NA
Viburnum pubescens,Viburnum dentatum dentatum,NA,NA,NA,0.999,NCBI
Viola striata,Viola striata,accepted,NA,22171,0.988,NCBI
Acer negundo,Acer negundo,accepted,NA,28749,0.988,Catalogue of Life
Brauneria purpurea,Brauneria purpurea,not accepted,synonym,509705,0.988,uBio NameBank
Brauneria purpurea,Echinacea purpurea,accepted,NA,37281,0.988,NCBI
Castalia tuberosa,Castalia tuberosa,not accepted,synonym,510391,0.988,uBio NameBank
Castalia tuberosa,Nymphaea odorata ssp. tuberosa,accepted,NA,566057,NA,NA
Castalia tuberosa,Nymphaea odorata tuberosa,NA,NA,NA,0.999,Catalogue of Life
Cirsium discolor,Cirsium discolor,accepted,NA,36362,0.988,NCBI
Delphinium tricorne,Delphinium tricorne,accepted,NA,18515,0.988,NCBI
Ellisia nyctelaea,Ellisia nyctelaea,NA,NA,NA,0.988,EOL
Euphorbia preslii,Euphorbia preslii,not accepted,synonym,513403,0.988,Union 4
Euphorbia preslii,Euphorbia preslii,not accepted,"invalidly published, other",1031611,0.988,Union 4
Euphorbia preslii,Euphorbia nutans,accepted,NA,28107,0.988,NCBI
Euphorbia preslii,Euphorbia taurinensis,accepted,NA,1027720,0.988,NCBI
Gaura biennis,Gaura biennis,not accepted,synonym,27642,0.988,EOL
Gaura biennis,Oenothera gaura,accepted,NA,836006,0.988,NCBI
Helianthus strumosus,Helianthus strumosus,accepted,NA,36690,0.988,NCBI
Impatiens pallida,Impatiens pallida,accepted,NA,29189,0.988,NCBI
Mertensia virginica,Mertensia virginica,accepted,NA,31673,0.988,NCBI
Nepeta cataria,Nepeta cataria,accepted,NA,32623,0.988,NCBI
Phlox divaricata,Phlox divaricata,accepted,NA,30934,0.988,Catalogue of Life
Potentilla monspeliensis norvegica,Potentilla monspeliensis norvegica,NA,NA,NA,0.999,uBio NameBank
Ribes gracile,Ribes gracile,NA,NA,NA,0.988,uBio NameBank
Ruellia ciliosa,Ruellia ciliosa,accepted,NA,520603,0.988,NCBI
Senecio aureus,Senecio aureus,not accepted,synonym,36091,0.988,Freebase
Senecio aureus,Packera aurea,accepted,NA,518139,0.988,NCBI
Seymeria macrophylla,Seymeria macrophylla,not accepted,synonym,521425,0.988,EOL
Seymeria macrophylla,Dasistoma macrophylla,accepted,NA,33581,0.988,NCBI
Strophostyles pauciflora,Strophostyles pauciflora,not accepted,synonym,522099,0.988,uBio NameBank
Strophostyles pauciflora,Strophostyles leiosperma,accepted,NA,26203,0.988,NCBI
Valerianella radiata,Valerianella radiata,accepted,NA,35397,0.988,NCBI
Asclepias tuberosa,Asclepias tuberosa,accepted,NA,30313,0.988,Catalogue of Life
Bidens connata,Bidens connata,accepted,NA,35718,0.988,NCBI
Cacalia reniformis,Cacalia reniformis,not accepted,homonym (illegitimate),509866,0.988,uBio NameBank
Cacalia reniformis,Arnoglossum reniforme,accepted,NA,36588,0.988,EOL
Crataegus mollis,Crataegus mollis,accepted,NA,24585,0.988,NCBI
Cryptotaenia canadensis,Cryptotaenia canadensis,accepted,NA,29475,0.988,NCBI
Desmodium paniculatum,Desmodium paniculatum,accepted,NA,25815,0.988,NCBI
Erigenia bulbosa,Erigenia bulbosa,accepted,NA,29661,0.988,NCBI
Gerardia purpurea,Gerardia purpurea,not accepted,synonym,33188,0.988,Union 4
Gerardia purpurea,Agalinis purpurea var. purpurea,accepted,NA,834285,NA,NA
Gerardia purpurea,Agalinis purpurea purpurea,NA,NA,NA,0.999,GBIF Backbone Taxonomy
Gleditsia triacanthos,Gleditsia triacanthos,accepted,NA,26714,0.988,NCBI
Hibiscus militaris,Hibiscus militaris,not accepted,synonym,514729,0.988,uBio NameBank
Hibiscus militaris,Hibiscus laevis,accepted,NA,21632,0.988,NCBI
Hibiscus trionum,Hibiscus trionum,accepted,NA,21639,0.988,NCBI
Physalis virginiana,Physalis virginiana,accepted,NA,30612,0.988,NCBI
Polemonium reptans,Polemonium reptans,accepted,NA,31003,0.988,NCBI
Polygonum scandens,Polygonum scandens,not accepted,synonym,20924,0.988,EOL
Polygonum scandens,Fallopia scandens,accepted,NA,513512,0.988,NCBI
Populus deltoides,Populus deltoides,accepted,NA,22445,0.988,Catalogue of Life
Rubus occidentalis,Rubus occidentalis,accepted,NA,24854,0.988,NCBI
Teucrium canadense,Teucrium canadense,accepted,NA,32352,0.988,NCBI
Zanthoxylum americanum,Zanthoxylum americanum,accepted,NA,505788,0.988,NCBI
Aster turbinellus,Aster turbinellus,not accepted,synonym,35670,0.988,EOL
Aster turbinellus,Symphyotrichum turbinellum,accepted,NA,522256,0.988,EOL
Cuscuta cephalanthi,Cuscuta cephalanthi,accepted,NA,30724,0.988,NCBI
Gerardia auriculata,Gerardia auriculata,not accepted,synonym,513949,0.988,uBio NameBank
Gerardia auriculata,Agalinis auriculata,accepted,NA,182269,0.988,NCBI
Gymnocladus dioica,Gymnocladus dioica,NA,NA,NA,0.988,EOL
Melilotus alba,Melilotus alba,not accepted,orthographic variant (misspelling),26149,0.988,EOL
Melilotus alba,Melilotus albus,accepted,NA,516979,0.988,NCBI
Oenothera biennis,Oenothera biennis,accepted,NA,27368,0.988,NCBI
Oxypolis rigidior,Oxypolis rigidior,accepted,NA,29544,0.988,NCBI
Rhamnus lanceolata,Rhamnus lanceolata,accepted,NA,28580,0.988,EOL
Salix longifolia,Salix longifolia,not accepted,synonym,520839,0.988,GBIF Backbone Taxonomy
Salix longifolia,Salix longifolia,accepted,NA,837811,0.988,GBIF Backbone Taxonomy
Salix longifolia,Salix interior,accepted,NA,520829,0.988,NCBI
Tecoma radicans,Tecoma radicans,not accepted,synonym,522402,0.988,BioLib.cz
Tecoma radicans,Campsis radicans,accepted,NA,34309,0.988,NCBI
Ulmus fulva,Ulmus fulva,not accepted,synonym,523006,0.988,uBio NameBank
Ulmus fulva,Ulmus rubra,accepted,NA,19050,0.988,NCBI
Amorpha canescens,Amorpha canescens,accepted,NA,25371,0.988,NCBI
Asiminia triloba,Asiminia triloba,NA,NA,NA,NA,NA
Asiminia triloba,Asimina triloba,accepted,NA,18117,0.75,Catalogue of Life
Desmodium marilandicum,Desmodium marilandicum,accepted,NA,25809,0.988,NCBI
Gratiola virginiana,Gratiola virginiana,accepted,NA,33191,0.988,NCBI
Liatris scariosa,Liatris scariosa,accepted,NA,37941,0.988,NCBI
Lilium superbum,Lilium superbum,accepted,NA,42723,0.988,NCBI
Ptelea trifoliata,Ptelea trifoliata,accepted,NA,28992,0.988,Catalogue of Life
Rudbeckia triloba,Rudbeckia triloba,accepted,NA,36784,0.988,NCBI
Salix humilis,Salix humilis,accepted,NA,22546,0.988,NCBI
Trifolium reflexum,Trifolium reflexum,accepted,NA,26280,0.988,NCBI
Verbesina helianthoides,Verbesina helianthoides,accepted,NA,38604,0.988,NCBI
Viburnum prunifolium,Viburnum prunifolium,accepted,NA,35253,0.988,NCBI
Baptisia leucantha,Baptisia leucantha,not accepted,synonym,192833,0.988,NCBI
Baptisia leucantha,Baptisia lactea var. lactea,accepted,NA,820892,NA,NA
Baptisia leucantha,Baptisia lactea lactea,NA,NA,NA,0.999,GBIF Backbone Taxonomy
Desmodium sessilifolium,Desmodium sessilifolium,accepted,NA,25827,0.988,NCBI
Radicula obtusa,Radicula obtusa,not accepted,synonym,519895,0.988,uBio NameBank
Radicula obtusa,Rorippa teres,accepted,NA,23019,0.988,NCBI
Smilax herbacea,Smilax herbacea,accepted,NA,43356,0.988,NCBI
Steironema quadriflorum,Steironema quadriflorum,not accepted,synonym,521971,0.988,uBio NameBank
Steironema quadriflorum,Lysimachia quadriflora,accepted,NA,23996,0.988,Wikispecies
Bidens bipinnata,Bidens bipinnata,accepted,NA,500993,0.988,NCBI
Caulophyllum thalictroides,Caulophyllum thalictroides,accepted,NA,18840,0.988,NCBI
Cornus florida,Cornus florida,accepted,NA,27806,0.988,NCBI
Lepidium virginicum,Lepidium virginicum,accepted,NA,22955,0.988,NCBI
Rhus toxicodendron,Rhus toxicodendron,not accepted,synonym,520068,0.988,CU*STAR
Rhus toxicodendron,Toxicodendron pubescens,accepted,NA,505545,0.988,NCBI
Smilacina stellata,Smilacina stellata,not accepted,synonym,43038,0.988,EOL
Smilacina stellata,Maianthemum stellatum,accepted,NA,503656,0.988,NCBI
Astragalus mexicanus,Astragalus mexicanus,not accepted,synonym,192429,0.988,uBio NameBank
Astragalus mexicanus,Astragalus crassicarpus var. berlandieri,accepted,NA,192428,NA,NA
Astragalus mexicanus,Astragalus crassicarpus berlandieri,NA,NA,NA,0.999,uBio NameBank
Petalostemum purpureum,Petalostemum purpureum,NA,NA,NA,0.988,EOL
Polygonum hydropiperoides,Polygonum hydropiperoides,not accepted,synonym,20857,0.988,Freebase
Polygonum hydropiperoides,Persicaria hydropiperoides,accepted,NA,518733,0.988,NCBI
Psoralea onobrychis,Psoralea onobrychis,not accepted,synonym,26909,0.988,EOL
Psoralea onobrychis,Orbexilum onobrychis,accepted,NA,504047,0.988,NCBI
Rudbeckia hirta,Rudbeckia hirta,accepted,NA,36765,0.988,NCBI
Sambucus canadensis,Sambucus canadensis,not accepted,synonym,35317,0.988,NCBI
Sambucus canadensis,Sambucus nigra ssp. canadensis,accepted,NA,525079,NA,NA
Sambucus canadensis,Sambucus nigra canadensis,NA,NA,NA,0.999,EOL
Silene nivea,Silene nivea,accepted,NA,20090,0.988,NCBI
Solidago nemoralis,Solidago nemoralis,accepted,NA,36281,0.988,Catalogue of Life
Solidago ulmifolia,Solidago ulmifolia,accepted,NA,36225,0.988,NCBI
Zea mays,Zea mays,accepted,NA,42269,0.988,NCBI
Crotalaria sagittalis,Crotalaria sagittalis,accepted,NA,26579,0.988,NCBI
Sassafras variifolium,Sassafras variifolium,not accepted,synonym,521007,0.988,uBio NameBank
Sassafras variifolium,Sassafras albidum,accepted,NA,18158,0.988,NCBI
Scutellaria parvula,Scutellaria parvula,accepted,NA,32776,0.988,NCBI
Viola pubescens,Viola pubescens,accepted,NA,22144,0.988,NCBI
Passiflora lutea,Passiflora lutea,accepted,NA,22226,0.988,NCBI
Ruellia strepens,Ruellia strepens,accepted,NA,34390,0.988,NCBI
Solidago canadensis,Solidago canadensis,accepted,NA,36224,0.988,NCBI
Desmodium grandiflorum,Desmodium grandiflorum,not accepted,synonym,25802,0.988,EOL
Desmodium grandiflorum,Desmodium cuspidatum var. cuspidatum,accepted,NA,527673,NA,NA
Desmodium grandiflorum,Desmodium cuspidatum cuspidatum,NA,NA,NA,0.999,Catalogue of Life
Saponaria officinalis,Saponaria officinalis,accepted,NA,20039,0.988,NCBI
"Frequency of occurrences""","Frequency of occurrences""",NA,NA,NA,NA,NA
Inga sessilis,Inga sessilis,NA,NA,NA,0.988,EOL
Erythrina speciosa,Erythrina speciosa,NA,NA,NA,0.988,NCBI
Aechmea vanhoutteana,Aechmea vanhoutteana,NA,NA,NA,0.988,NCBI
Spirotheca rivieri,Spirotheca rivieri,NA,NA,NA,0.988,NCBI
Wittrockia superba,Wittrockia superba,NA,NA,NA,0.988,Freebase
Aechmea gamosepala,Aechmea gamosepala,NA,NA,NA,0.988,NCBI
Canistrum perplexum,Canistrum perplexum,NA,NA,NA,0.988,uBio NameBank
Callianthe rufinerva,Callianthe rufinerva,NA,NA,NA,0.988,Catalogue of Life
Edmundoa lindenii,Edmundoa lindenii,NA,NA,NA,0.988,NCBI
Macrocarpaea rubra,Macrocarpaea rubra,NA,NA,NA,0.988,NCBI
Mutisia speciosa,Mutisia speciosa,NA,NA,NA,0.988,NCBI
Psittacanthus dichroos,Psittacanthus dichroos,NA,NA,NA,0.988,CU*STAR
Canna paniculata,Canna paniculata,accepted,NA,781069,0.988,NCBI
Alstroemeria inodora,Alstroemeria inodora,NA,NA,NA,0.988,NCBI
Manettia cordifolia,Manettia cordifolia,NA,NA,NA,0.988,NCBI
Nidularium innocentii,Nidularium innocentii,NA,NA,NA,0.988,NCBI
Aechmea distichantha,Aechmea distichantha,NA,NA,NA,0.988,NCBI
Billbergia amoena,Billbergia amoena,NA,NA,NA,0.988,NCBI
Nematanthus fritschii,Nematanthus fritschii,accepted,NA,827300,0.988,NCBI
Sinningia cooperi,Sinningia cooperi,accepted,NA,827473,0.988,NCBI
Mendoncia velloziana,Mendoncia velloziana,NA,NA,NA,0.988,NCBI
Aphelandra longiflora,Aphelandra longiflora,NA,NA,NA,0.988,Catalogue of Life
Nidularium procerum,Nidularium procerum,NA,NA,NA,0.988,NCBI
Besleria longimucronata,Besleria longimucronata,accepted,NA,826873,0.988,CU*STAR
Fuchsia regia,Fuchsia regia,NA,NA,NA,0.988,Catalogue of Life
Vriesea simplex,Vriesea simplex,NA,NA,NA,0.988,NCBI
Centropogon cornutus,Centropogon cornutus,accepted,NA,845383,0.988,NCBI
Siphocampylus convolvulaceus,Siphocampylus convolvulaceus,NA,NA,NA,0.988,NCBI
Aechmea nudicaulis,Aechmea nudicaulis,accepted,NA,42333,0.988,NCBI
Nematanthus fluminensis,Nematanthus fluminensis,accepted,NA,826121,0.988,NCBI
Nematanthus gregarius,Nematanthus gregarius,accepted,NA,826187,0.988,NCBI
Vriesea incurvata,Vriesea incurvata,NA,NA,NA,0.988,NCBI
Nidularium rutilans,Nidularium rutilans,NA,NA,NA,0.988,Freebase
Pyrostegia venusta,Pyrostegia venusta,accepted,NA,34324,0.988,NCBI
Aphelandra colorata,Aphelandra colorata,NA,NA,NA,0.988,uBio NameBank
Tillandsia geminiflora,Tillandsia geminiflora,NA,NA,NA,0.988,NCBI
Vriesea erythrodactylon,Vriesea erythrodactylon,NA,NA,NA,0.988,NCBI
Sinningia elatior,Sinningia elatior,accepted,NA,827294,0.988,NCBI
Vriesea carinata,Vriesea carinata,NA,NA,NA,0.988,NCBI
Nidularium longiflorum,Nidularium longiflorum,NA,NA,NA,0.988,Freebase
Nematanthus sericeus,Nematanthus sericeus,accepted,NA,826279,0.988,NCBI
Vriesea inflata,Vriesea inflata,NA,NA,NA,0.988,Freebase
Siphocampylus longipedunculatus,Siphocampylus longipedunculatus,NA,NA,NA,0.988,Catalogue of Life
Tillandsia stricta,Tillandsia stricta,NA,NA,NA,0.988,NCBI
Sinningia glazioviana,Sinningia glazioviana,accepted,NA,827317,0.988,NCBI
Siphocampylus lauroanus,Siphocampylus lauroanus,NA,NA,NA,0.988,CU*STAR
Psychotria leiocarpa,Psychotria leiocarpa,NA,NA,NA,0.988,NCBI
Tillandsia dura,Tillandsia dura,NA,NA,NA,0.988,NCBI
Geissomeria schottiana,Geissomeria schottiana,NA,NA,NA,0.988,Freebase
Justicia scheidweileri,Justicia scheidweileri,NA,NA,NA,0.988,CU*STAR
Ruellia brevifolia,Ruellia brevifolia,accepted,NA,507564,0.988,NCBI
Passiflora speciosa,Passiflora speciosa,NA,NA,NA,0.988,NCBI
Fridericia speciosa,Fridericia speciosa,NA,NA,NA,0.988,NCBI
Corymborkis flava,Corymborkis flava,accepted,NA,43737,0.988,EOL
Heliconia simulans,Heliconia simulans,NA,NA,NA,NA,NA
Heliconia simulans,Heliconia,accepted,NA,42386,0.75,Catalogue of Life
Rubus rosaefolius,Rubus rosaefolius,not accepted,orthographic variant (misspelling),520502,0.988,EOL
Rubus rosaefolius,Rubus rosifolius,accepted,NA,504882,0.988,Catalogue of Life
Passiflora kermesina,Passiflora kermesina,NA,NA,NA,0.988,NCBI
Hyptis asperrima,Hyptis asperrima,NA,NA,NA,0.988,CU*STAR
Ruellia subsessilis,Ruellia subsessilis,NA,NA,NA,0.988,NCBI
Hamelia versicolor,Hamelia versicolor,NA,NA,NA,0.988,NCBI
Vitex mollis,Vitex mollis,NA,NA,NA,0.988,GRIN Taxonomy for Plants
Combretum farinosum,Combretum farinosum,NA,NA,NA,0.988,NCBI
Ipomoea bracteata,Ipomoea bracteata,NA,NA,NA,0.988,Union 4
Ipomoea wolcottiana,Ipomoea wolcottiana,NA,NA,NA,0.988,Catalogue of Life
Opuntia excelsa,Opuntia excelsa,accepted,NA,907595,0.988,NCBI
Nopalea karwinskiana,Nopalea karwinskiana,NA,NA,NA,0.988,EOL
Ceiba aesculifolia,Ceiba aesculifolia,accepted,NA,21596,0.988,Catalogue of Life
Cordia seleriana,Cordia seleriana,NA,NA,NA,0.988,NCBI
Psittacanthus calyculatus,Psittacanthus calyculatus,NA,NA,NA,0.988,NCBI
Tillandsia bartramii,Tillandsia bartramii,accepted,NA,42362,0.988,NCBI
Pithecellobium mangens,Pithecellobium mangens,NA,NA,NA,NA,NA
Pithecellobium mangens,Pithecellobium mangense,NA,NA,NA,0.75,Catalogue of Life
Tillandsia paucifolia,Tillandsia paucifolia,accepted,NA,505511,0.988,NCBI
Tillandsia dasyrifolia,Tillandsia dasyrifolia,NA,NA,NA,NA,NA
Tillandsia dasyrifolia,Tillandsia dasyliriifolia,NA,NA,NA,0.75,Catalogue of Life
Groton suberosus,Groton suberosus,NA,NA,NA,NA,NA
Groton suberosus,Croton suberosus,accepted,NA,1027277,0.75,Catalogue of Life
Justicia mexicana,Justicia mexicana,NA,NA,NA,0.988,CU*STAR
Erythrina lanata,Erythrina lanata,NA,NA,NA,0.988,Union 4
Ipomoea quamoclit,Ipomoea quamoclit,accepted,NA,30790,0.988,NCBI
Tabebuia donnell-smithii,Tabebuia donnell-smithii,not accepted,synonym,565557,0.988,EOL
Tabebuia donnell-smithii,Roseodendron donnell-smithii,accepted,NA,507679,0.988,NCBI
Abutilon bedfordianum,Abutilon bedfordianum,NA,NA,NA,0.988,CU*STAR
Billbergia distachya,Billbergia distachya,NA,NA,NA,0.988,NCBI
Billbergia vitata,Billbergia vitata,NA,NA,NA,NA,NA
Billbergia vitata,Billbergia vittata,NA,NA,NA,0.75,Catalogue of Life
Bomarea edulis,Bomarea edulis,NA,NA,NA,0.988,NCBI
Hippeastrum aulicum,Hippeastrum aulicum,NA,NA,NA,0.988,NCBI
Justicia sebastianopolitanae,Justicia sebastianopolitanae,NA,NA,NA,0.988,uBio NameBank
Manettia mirtis,Manettia mirtis,NA,NA,NA,NA,NA
Manettia mirtis,Manettia mitis,NA,NA,NA,0.75,Catalogue of Life
Nematanthus crassifolius,Nematanthus crassifolius,accepted,NA,826281,0.988,NCBI
Nematanthus fornix,Nematanthus fornix,accepted,NA,826202,0.988,NCBI
Nematanthus lanceolatus,Nematanthus lanceolatus,accepted,NA,826182,0.988,NCBI
Nidularium itatiaiae,Nidularium itatiaiae,NA,NA,NA,0.988,Freebase
Odontonema barlerioides,Odontonema barlerioides,NA,NA,NA,0.988,Open Tree of Life Reference Taxonomy
Pitcaimia flammea,Pitcaimia flammea,NA,NA,NA,NA,NA
Psittacanthus flavo viridis,Psittacanthus flavo viridis,NA,NA,NA,NA,NA
Psittacanthus flavo viridis,Psittacanthus,NA,NA,NA,0.75,Catalogue of Life
Quesnelia augusto-coburgii,Quesnelia augusto-coburgii,NA,NA,NA,0.988,Freebase
Salvia sellowiana,Salvia sellowiana,NA,NA,NA,0.988,CU*STAR
Sinningia gigantifolia,Sinningia gigantifolia,accepted,NA,826304,0.988,NCBI
Siphocampylus longepedunculatus,Siphocampylus longepedunculatus,NA,NA,NA,0.988,NCBI
Staurogyne itatiaiae,Staurogyne itatiaiae,NA,NA,NA,0.988,CU*STAR
Tillandsia gardneri,Tillandsia gardneri,NA,NA,NA,0.988,NCBI
Velloziela dracocephaloides,Velloziela dracocephaloides,NA,NA,NA,NA,NA
Velloziela dracocephaloides,Velloziella dracocephaloides,NA,NA,NA,0.75,Catalogue of Life
Vriesea longicaulis,Vriesea longicaulis,NA,NA,NA,0.988,NCBI
Stromanthe thalia,Stromanthe thalia,NA,NA,NA,0.988,NCBI
Cnidoscolus halteris,Cnidoscolus halteris,NA,NA,NA,0.988,CU*STAR
Tacinga palmadora,Tacinga palmadora,accepted,NA,908298,0.988,NCBI
Oxalis psoraleoides,Oxalis psoraleoides,NA,NA,NA,0.988,Catalogue of Life
Melocactus zehntneri,Melocactus zehntneri,accepted,NA,908174,0.988,NCBI
Melochia tomentosa,Melochia tomentosa,accepted,NA,503748,0.988,NCBI
Tabebuia impetiginosa,Tabebuia impetiginosa,NA,NA,NA,0.988,Freebase
Cnidoscolus obtusifolius,Cnidoscolus obtusifolius,NA,NA,NA,0.988,uBio NameBank
Cissus simsiana,Cissus simsiana,NA,NA,NA,0.988,NCBI
Bauhinia cheilantha,Bauhinia cheilantha,NA,NA,NA,0.988,NCBI
Jatropha mollissima,Jatropha mollissima,NA,NA,NA,0.988,EOL
Encholirium spectabile,Encholirium spectabile,NA,NA,NA,0.988,EOL
Tacinga inamoena,Tacinga inamoena,accepted,NA,908277,0.988,NCBI
Ruellia asperula,Ruellia asperula,NA,NA,NA,0.988,NCBI
Allamanda blanchetii,Allamanda blanchetii,accepted,NA,564997,0.988,NCBI
Cissus verticillata,Cissus verticillata,accepted,NA,501557,0.988,Catalogue of Life
Pithecoseris pacourinoides,Pithecoseris pacourinoides,NA,NA,NA,0.988,uBio NameBank
Ceiba glaziovii,Ceiba glaziovii,NA,NA,NA,0.988,NCBI
Conocliniopsis prasiifolia,Conocliniopsis prasiifolia,NA,NA,NA,0.988,NCBI
Dioclea grandiflora,Dioclea grandiflora,NA,NA,NA,0.988,NCBI
Hyptis pectinata,Hyptis pectinata,accepted,NA,32526,0.988,EOL
Anadenanthera macrocarpa,Anadenanthera macrocarpa,NA,NA,NA,0.988,CU*STAR
Caesalpinia pyramidalis,Caesalpinia pyramidalis,NA,NA,NA,0.988,EOL
Croton blanchetianus,Croton blanchetianus,accepted,NA,1028198,0.988,EOL
Pilosocereus gounellei,Pilosocereus gounellei,accepted,NA,908356,0.988,NCBI
Staelia galioides,Staelia galioides,NA,NA,NA,0.988,NCBI
Walteria rotundifolia,Walteria rotundifolia,NA,NA,NA,NA,NA
Walteria rotundifolia,Waltheria rotundifolia,NA,NA,NA,0.75,Catalogue of Life
Barnadesia spinosa,Barnadesia spinosa,NA,NA,NA,0.988,NCBI
Siphocampylus paramicola,Siphocampylus paramicola,NA,NA,NA,0.988,CU*STAR
Brachyotum lindenii,Brachyotum lindenii,NA,NA,NA,0.988,NCBI
Disterigma codonanthum,Disterigma codonanthum,NA,NA,NA,0.988,NCBI
Puya clava-herculis,Puya clava-herculis,NA,NA,NA,0.988,Freebase
Siphocampylus giganteus,Siphocampylus giganteus,NA,NA,NA,0.988,NCBI
Macleania rupestris,Macleania rupestris,NA,NA,NA,0.988,NCBI
Guzmania candelabrum,Guzmania candelabrum,NA,NA,NA,0.988,Freebase
Desfontainea spinosa,Desfontainea spinosa,NA,NA,NA,NA,NA
Desfontainea spinosa,Desfontainia spinosa,not accepted,synonym,822481,0.75,Catalogue of Life
Desfontainea spinosa,Desfontainia fulgens,accepted,NA,822493,NA,NA
Guzmania bakeri,Guzmania bakeri,NA,NA,NA,0.988,Freebase
Gaultheria erecta,Gaultheria erecta,NA,NA,NA,0.988,NCBI
Tillandsia orbicularis,Tillandsia orbicularis,NA,NA,NA,0.988,EOL
Gaiadendron punctatum,Gaiadendron punctatum,NA,NA,NA,0.988,NCBI
Racinaea tetrantha,Racinaea tetrantha,NA,NA,NA,0.988,Freebase
Brachyotum ledifolium,Brachyotum ledifolium,NA,NA,NA,0.988,NCBI
Vaccinium floribundum,Vaccinium floribundum,NA,NA,NA,0.988,NCBI
Fuchsia corollata,Fuchsia corollata,NA,NA,NA,0.988,uBio NameBank
Bomarea linifolia,Bomarea linifolia,NA,NA,NA,0.988,NCBI
Passiflora mixta,Passiflora mixta,accepted,NA,506140,0.988,NCBI
Tillandsia complanata,Tillandsia complanata,NA,NA,NA,0.988,NCBI
Tristerix longebracteatus,Tristerix longebracteatus,NA,NA,NA,0.988,NCBI
Gaultheria insipida,Gaultheria insipida,NA,NA,NA,0.988,NCBI
Bejaria aestuans,Bejaria aestuans,accepted,NA,721712,0.988,NCBI
Pernettya prostrata,Pernettya prostrata,NA,NA,NA,0.988,NCBI
Justicia brasiliana,Justicia brasiliana,NA,NA,NA,0.988,NCBI
Heliconia farinosa,Heliconia farinosa,NA,NA,NA,0.988,NCBI
Nematanthus australis,Nematanthus australis,accepted,NA,826142,0.988,NCBI
Psychotria suterella,Psychotria suterella,NA,NA,NA,0.988,NCBI
Nidularium inocentii,Nidularium inocentii,NA,NA,NA,NA,NA
Nidularium inocentii,Nidularium innocentii,NA,NA,NA,0.75,Catalogue of Life
Sinningia douglasii,Sinningia douglasii,accepted,NA,826826,0.988,NCBI
Vriesea vagans,Vriesea vagans,NA,NA,NA,0.988,NCBI
Aechmea blumenavii,Aechmea blumenavii,NA,NA,NA,0.988,NCBI
Justicia carnea,Justicia carnea,accepted,NA,832809,0.988,NCBI
Hedychium coronarium,Hedychium coronarium,accepted,NA,42396,0.988,NCBI
Aegiphila obducta,Aegiphila obducta,NA,NA,NA,0.988,CU*STAR
Vriesea altodaserrae,Vriesea altodaserrae,NA,NA,NA,0.988,Freebase
Gaylussacia brasiliensis,Gaylussacia brasiliensis,NA,NA,NA,0.988,NCBI
Aechmea cylindrata,Aechmea cylindrata,NA,NA,NA,0.988,NCBI
Bouvardia ternifolia,Bouvardia ternifolia,accepted,NA,34953,0.988,NCBI
Salvia elegans,Salvia elegans,accepted,NA,832880,0.988,NCBI
Penstemon roseus,Penstemon roseus,NA,NA,NA,0.988,uBio NameBank
Castilleja tenuiflora,Castilleja tenuiflora,accepted,NA,33174,0.988,NCBI
Penstemon gentianoides,Penstemon gentianoides,accepted,NA,834119,0.988,NCBI
Castilleja scorzonerifolia,Castilleja scorzonerifolia,NA,NA,NA,0.988,NCBI
Salvia mocinoi,Salvia mocinoi,NA,NA,NA,0.988,NCBI
Decagonocarpus cornutus,Decagonocarpus cornutus,NA,NA,NA,0.988,Union 4
Retiniphyllum rhabdocalyx,Retiniphyllum rhabdocalyx,NA,NA,NA,0.988,NCBI
Aechmea chantiniii,Aechmea chantiniii,NA,NA,NA,NA,NA
Aechmea chantiniii,Aechmea chantinii,NA,NA,NA,0.75,Catalogue of Life
Aphelandra macrostachya,Aphelandra macrostachya,NA,NA,NA,0.988,CU*STAR
Isertia hypoleuca,Isertia hypoleuca,NA,NA,NA,0.988,NCBI
Monotagma secundum,Monotagma secundum,NA,NA,NA,0.988,NCBI
Payparola hulkiana,Payparola hulkiana,NA,NA,NA,NA,NA
Payparola hulkiana,Paypayrola hulkiana,NA,NA,NA,0.75,Catalogue of Life
Tachia occidentalis,Tachia occidentalis,NA,NA,NA,0.988,NCBI
Drymonia semicordata,Drymonia semicordata,accepted,NA,826908,0.988,NCBI
Satyria panurensis,Satyria panurensis,NA,NA,NA,0.988,NCBI
